#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PF07728	AAA domain (dynein-related subfamily)	9	43	0.86	0.00100	3702.AT1G05910.1,3702.AT1G74310.1,3702.AT2G26140.1,3702.AT3G09840.1,3702.AT3G48870.1,3702.AT4G23940.1,3702.AT5G19990.1,3702.AT5G26860.1,3702.AT5G43010.1	AT1G05910,HSP101,ftsh4,CDC48,HSP93-III,FtsHi1,RPT6A,LON1,RPT4A
PF00009	Elongation factor Tu GTP binding domain	8	36	0.89	0.0019	3702.AT1G17220.1,3702.AT1G18070.3,3702.AT1G56070.1,3702.AT1G62750.1,3702.AT1G76810.1,3702.AT4G11160.1,3702.AT4G18330.2,3702.AT5G25230.1	FUG1,AT1G18070,LOS1,SCO1,AT1G76810,AT4G11160,AT4G18330,AT5G25230
PF00266	Aminotransferase class-V	6	17	1.09	0.0021	3702.AT3G48780.1,3702.AT3G57050.1,3702.AT3G62130.1,3702.AT5G17330.1,3702.AT5G51920.1,3702.AT5G65720.1	SPT1,CBL,LCD,GAD,AT5G51920,NFS1
PF00069	Protein kinase domain	53	1022	0.26	0.0030	3702.AT1G07880.2,3702.AT1G08590.1,3702.AT1G09600.1,3702.AT1G35710.1,3702.AT1G48260.1,3702.AT1G50700.1,3702.AT1G63700.1,3702.AT1G64210.1,3702.AT1G71830.1,3702.AT2G02220.1,3702.AT2G17220.1,3702.AT2G19470.1,3702.AT2G23300.1,3702.AT2G26330.1,3702.AT2G30730.1,3702.AT2G34650.1,3702.AT2G41890.1,3702.AT3G02130.1,3702.AT3G03940.1,3702.AT3G13530.1,3702.AT3G14350.1,3702.AT3G15890.1,3702.AT3G19700.1,3702.AT3G22750.1,3702.AT3G24550.1,3702.AT3G45780.2,3702.AT3G48260.1,3702.AT3G51990.1,3702.AT3G57530.1,3702.AT4G10010.1,3702.AT4G24100.1,3702.AT4G24400.1,3702.AT4G24740.1,3702.AT4G34500.1,3702.AT4G38470.1,3702.AT4G40010.1,3702.AT5G07280.1,3702.AT5G09890.2,3702.AT5G13530.1,3702.AT5G14640.1,3702.AT5G19360.1,3702.AT5G19450.2,3702.AT5G35960.1,3702.AT5G39440.1,3702.AT5G45800.1,3702.AT5G45810.1,3702.AT5G46330.1,3702.AT5G46570.1,3702.AT5G48940.1,3702.AT5G51770.1,3702.AT5G54380.1,3702.AT5G55910.1,3702.AT5G66790.1	ATMPK13,AT1G08590,AT1G09600,AT1G35710,CIPK17,CPK33,YDA,AT1G64210,SERK1,PSKR1,Kin3,ckl5,AT2G23300,TE1,AT2G30730,PID,AT2G41890,RPK2,AT3G03940,MAPKKK7,SRF7,AT3G15890,IKU2,AT3G22750,PERK1,PHOT1,WNK3,AT3G51990,CPK32,AT4G10010,AT4G24100,CIPK8,AFC2,AT4G34500,STY46,SNRK2.7,EMS1,AT5G09890,KEG,At5g14640,CPK34,CDPK19,AT5G35960,SnRK1.3,MEE62,CIPK19,At5g46330,BSK2,AT5G48940,AT5G51770,THE1,D6PK,AT5G66790
PF07714	Protein tyrosine kinase	53	1019	0.26	0.0030	3702.AT1G07880.2,3702.AT1G08590.1,3702.AT1G09600.1,3702.AT1G35710.1,3702.AT1G48260.1,3702.AT1G50700.1,3702.AT1G63700.1,3702.AT1G64210.1,3702.AT1G71830.1,3702.AT2G02220.1,3702.AT2G17220.1,3702.AT2G19470.1,3702.AT2G23300.1,3702.AT2G26330.1,3702.AT2G30730.1,3702.AT2G34650.1,3702.AT2G41890.1,3702.AT3G02130.1,3702.AT3G03940.1,3702.AT3G13530.1,3702.AT3G14350.1,3702.AT3G15890.1,3702.AT3G19700.1,3702.AT3G22750.1,3702.AT3G24550.1,3702.AT3G45780.2,3702.AT3G48260.1,3702.AT3G51990.1,3702.AT3G57530.1,3702.AT4G10010.1,3702.AT4G24100.1,3702.AT4G24400.1,3702.AT4G24740.1,3702.AT4G34500.1,3702.AT4G38470.1,3702.AT4G40010.1,3702.AT5G07280.1,3702.AT5G09890.2,3702.AT5G13530.1,3702.AT5G14640.1,3702.AT5G19360.1,3702.AT5G19450.2,3702.AT5G35960.1,3702.AT5G39440.1,3702.AT5G45800.1,3702.AT5G45810.1,3702.AT5G46330.1,3702.AT5G46570.1,3702.AT5G48940.1,3702.AT5G51770.1,3702.AT5G54380.1,3702.AT5G55910.1,3702.AT5G66790.1	ATMPK13,AT1G08590,AT1G09600,AT1G35710,CIPK17,CPK33,YDA,AT1G64210,SERK1,PSKR1,Kin3,ckl5,AT2G23300,TE1,AT2G30730,PID,AT2G41890,RPK2,AT3G03940,MAPKKK7,SRF7,AT3G15890,IKU2,AT3G22750,PERK1,PHOT1,WNK3,AT3G51990,CPK32,AT4G10010,AT4G24100,CIPK8,AFC2,AT4G34500,STY46,SNRK2.7,EMS1,AT5G09890,KEG,At5g14640,CPK34,CDPK19,AT5G35960,SnRK1.3,MEE62,CIPK19,At5g46330,BSK2,AT5G48940,AT5G51770,THE1,D6PK,AT5G66790
PF05496	Holliday junction DNA helicase ruvB N-terminus	8	50	0.75	0.0111	3702.AT2G26140.1,3702.AT2G27600.1,3702.AT3G09840.1,3702.AT4G23940.1,3702.AT5G19990.1,3702.AT5G22330.1,3702.AT5G26860.1,3702.AT5G43010.1	ftsh4,SKD1,CDC48,FtsHi1,RPT6A,RIN1,LON1,RPT4A
PF03144	Elongation factor Tu domain 2	6	26	0.91	0.0119	3702.AT1G18070.3,3702.AT1G56070.1,3702.AT1G62750.1,3702.AT1G76810.1,3702.AT4G18330.2,3702.AT5G25230.1	AT1G18070,LOS1,SCO1,AT1G76810,AT4G18330,AT5G25230
PF01926	50S ribosome-binding GTPase	13	137	0.52	0.0154	3702.AT1G05810.1,3702.AT1G17220.1,3702.AT1G33970.2,3702.AT1G76810.1,3702.AT3G12160.1,3702.AT3G16620.1,3702.AT4G02510.1,3702.AT4G02790.1,3702.AT4G11160.1,3702.AT4G33650.2,3702.AT5G09910.1,3702.AT5G10260.1,3702.AT5G66470.1	RABA5E,FUG1,AT1G33970,AT1G76810,RABA4D,TOC120,TOC159,EMB3129,AT4G11160,DRP3A,AT5G09910,RABH1e,AT5G66470
PF03141	Putative S-adenosyl-L-methionine-dependent methyltransferase	6	34	0.79	0.0372	3702.AT1G19430.1,3702.AT2G43200.1,3702.AT3G05390.1,3702.AT4G10440.1,3702.AT4G18030.1,3702.AT5G40830.1	AT1G19430,AT2G43200,AT3G05390,AT4G10440,AT4G18030,AT5G40830
PF02990	Endomembrane protein 70	4	12	1.06	0.0374	3702.AT3G13772.1,3702.AT4G12650.1,3702.AT5G10840.1,3702.AT5G35160.2	TMN7,AT4G12650,EMP1,AT5G35160
